timestamp,timestamp exit,arm,lane,Occupancy North,Occupancy South,Sense North,Sense South,total_occupancy
2017-12-29T12:34:08.823607,2017-12-30T11:01:54.141007,A0:E6:F8:2B:32:9F,BB_SP_10.1,80860.7016,4.6158,2952,523,80865.3174
2017-12-29T20:38:08.593304,2017-12-30T08:12:32.083004,A0:E6:F8:2C:D0:F3,BB_SP_4.2,0.0,41663.4897,41,996,41663.4897
2017-12-29T23:47:14.054840,2017-12-30T07:49:52.359740,A0:E6:F8:2C:C4:55,BB_SP_3.2,0.0,28958.3049,0,238,28958.3049
2017-12-29T22:03:12.604025,2017-12-30T07:59:04.148525,A0:E6:F8:2C:D2:A5,BB_SP_1.1,0.0,35751.5445,0,1549,35751.5445
2017-12-29T22:59:36.065416,2017-12-30T07:52:40.239316,A0:E6:F8:2B:32:A5,BB_SP_1.2,31984.1739,0.0,270,0,31984.1739
2017-12-29T20:44:02.469161,2017-12-30T07:00:07.282361,A0:E6:F8:2C:D0:D5,BB_SP_5.2,36964.8132,0.0,469,0,36964.8132
2017-12-29T23:59:44.621934,2017-12-30T04:03:23.767734,A0:E6:F8:2C:D2:CD,BB_SP_7.1,0.0,14619.1458,0,929,14619.1458
2017-12-29T16:51:08.227277,2017-12-30T04:01:54.529877,A0:E6:F8:2C:D0:E1,BB_SP_9.2,2.6145,40243.6881,522,1870,40246.3026
2017-12-29T22:05:10.615034,2017-12-30T03:57:48.612734,A0:E6:F8:2B:2F:DC,BB_SP_9.1,21157.9977,0.0,554,0,21157.9977
2017-12-29T23:56:19.809152,2017-12-30T00:40:00.166052,A0:E6:F8:2B:2F:A4,BB_SP_8.1,2620.3569,0.0,320,0,2620.3569
2017-12-29T22:03:30.907870,2017-12-30T00:40:00.211570,A0:E6:F8:2B:2F:BE,BB_SP_4.1,9389.3037,0.0,397,0,9389.3037
2017-12-29T17:48:34.960319,2017-12-29T23:59:30.428519,A0:E6:F8:2C:D2:CD,BB_SP_7.1,1.05,22254.4182,313,1260,22255.4682
2017-12-29T22:03:35.390527,2017-12-29T23:44:54.892627,A0:E6:F8:2C:C4:55,BB_SP_3.2,0.0,6079.5021,0,207,6079.5021
2017-12-29T23:23:06.611675,2017-12-29T23:43:27.022475,A0:E6:F8:2B:2F:A4,BB_SP_8.1,0.0,1220.4108,0,1847,1220.4108
2017-12-29T22:42:25.803058,2017-12-29T23:22:45.332758,A0:E6:F8:2C:D2:9E,BB_SP_5.1,2419.5297,0.0,270,0,2419.5297
2017-12-29T22:42:03.817159,2017-12-29T23:22:14.035459,A0:E6:F8:2B:2F:D0,BB_SP_2.1,2410.2183,0.0,387,0,2410.2183
2017-12-29T20:42:27.344733,2017-12-29T22:58:16.949133,A0:E6:F8:2B:32:A5,BB_SP_1.2,8149.6044,0.0,268,0,8149.6044
2017-12-29T22:43:04.687977,2017-12-29T22:57:06.344877,A0:E6:F8:2C:D0:F1,BB_SP_8.2,0.0,841.6569,0,427,841.6569
2017-12-29T22:41:16.210473,2017-12-29T22:42:21.921573,A0:E6:F8:2C:D2:9E,BB_SP_5.1,65.7111,0.0,230,0,65.7111
2017-12-29T22:38:12.747642,2017-12-29T22:41:58.741242,A0:E6:F8:2B:2F:D0,BB_SP_2.1,225.9936,0.0,254,0,225.9936
2017-12-29T22:03:38.927678,2017-12-29T22:40:25.378778,A0:E6:F8:2C:D0:F8,BB_SP_6.1,2206.4511,0.0,498,0,2206.4511
