textBox1,textBox5,textBox2,textBox6,textBox3,textBox7,textBox4,textBox8
Lot Event Id,15030,Space,004         ,Entered Timestamp,8/18/2016 7:24:13 PM,Exited Timestamp,8/19/2016 6:10:41 AM
Lot Event Id,15038,Space,010         ,Entered Timestamp,8/18/2016 8:16:58 PM,Exited Timestamp,8/19/2016 7:22:14 AM
Lot Event Id,15039,Space,002         ,Entered Timestamp,8/18/2016 9:07:37 PM,Exited Timestamp,8/19/2016 6:48:53 AM
Lot Event Id,15041,Space,001         ,Entered Timestamp,8/18/2016 9:46:10 PM,Exited Timestamp,8/19/2016 7:41:10 AM
Lot Event Id,15046,Space,003         ,Entered Timestamp,8/18/2016 10:09:40 PM,Exited Timestamp,8/19/2016 6:28:19 AM
Lot Event Id,15048,Space,009         ,Entered Timestamp,8/18/2016 10:15:28 PM,Exited Timestamp,8/19/2016 9:56:31 AM
Lot Event Id,15049,Space,007         ,Entered Timestamp,8/18/2016 10:37:48 PM,Exited Timestamp,8/19/2016 4:49:34 AM
Lot Event Id,15051,Space,005         ,Entered Timestamp,8/18/2016 11:26:39 PM,Exited Timestamp,8/19/2016 9:34:27 AM
Lot Event Id,15053,Space,008         ,Entered Timestamp,8/19/2016 12:45:25 AM,Exited Timestamp,8/19/2016 12:45:27 AM
Lot Event Id,15054,Space,008         ,Entered Timestamp,8/19/2016 12:45:38 AM,Exited Timestamp,8/19/2016 11:06:50 AM
Lot Event Id,15055,Space,006         ,Entered Timestamp,8/19/2016 12:46:07 AM,Exited Timestamp,8/19/2016 12:59:45 AM
Lot Event Id,15056,Space,006         ,Entered Timestamp,8/19/2016 1:29:46 AM,Exited Timestamp,8/19/2016 1:38:50 AM
Lot Event Id,15057,Space,006         ,Entered Timestamp,8/19/2016 2:23:48 AM,Exited Timestamp,8/19/2016 12:45:13 PM
Lot Event Id,15058,Space,007         ,Entered Timestamp,8/19/2016 5:34:36 AM,Exited Timestamp,8/19/2016 7:33:11 AM
Lot Event Id,15059,Space,003         ,Entered Timestamp,8/19/2016 6:40:24 AM,Exited Timestamp,8/19/2016 7:48:07 AM
Lot Event Id,15060,Space,002         ,Entered Timestamp,8/19/2016 6:48:55 AM,Exited Timestamp,8/19/2016 6:48:58 AM
Lot Event Id,15061,Space,004         ,Entered Timestamp,8/19/2016 7:05:06 AM,Exited Timestamp,8/19/2016 7:17:12 AM
Lot Event Id,15062,Space,002         ,Entered Timestamp,8/19/2016 7:09:00 AM,Exited Timestamp,8/19/2016 9:39:15 AM
Lot Event Id,15063,Space,010         ,Entered Timestamp,8/19/2016 7:22:14 AM,Exited Timestamp,8/19/2016 7:22:16 AM
Lot Event Id,15064,Space,010         ,Entered Timestamp,8/19/2016 7:23:49 AM,Exited Timestamp,8/19/2016 7:23:58 AM
Lot Event Id,15065,Space,010         ,Entered Timestamp,8/19/2016 7:24:10 AM,Exited Timestamp,8/19/2016 7:30:47 AM
Lot Event Id,15066,Space,004         ,Entered Timestamp,8/19/2016 7:35:24 AM,Exited Timestamp,8/19/2016 7:35:30 AM
Lot Event Id,15067,Space,004         ,Entered Timestamp,8/19/2016 7:35:34 AM,Exited Timestamp,8/19/2016 9:28:06 AM
Lot Event Id,15068,Space,003         ,Entered Timestamp,8/19/2016 7:48:03 AM,Exited Timestamp,8/19/2016 7:48:06 AM
Lot Event Id,15069,Space,001         ,Entered Timestamp,8/19/2016 8:10:30 AM,Exited Timestamp,8/19/2016 8:12:08 AM
Lot Event Id,15070,Space,003         ,Entered Timestamp,8/19/2016 8:12:39 AM,Exited Timestamp,8/19/2016 8:18:32 AM
Lot Event Id,15071,Space,001         ,Entered Timestamp,8/19/2016 8:18:44 AM,Exited Timestamp,8/19/2016 10:16:26 AM
Lot Event Id,15072,Space,004         ,Entered Timestamp,8/19/2016 9:33:48 AM,Exited Timestamp,8/19/2016 9:50:48 AM
Lot Event Id,15073,Space,004         ,Entered Timestamp,8/19/2016 10:05:34 AM,Exited Timestamp,8/19/2016 10:05:54 AM
Lot Event Id,15074,Space,004         ,Entered Timestamp,8/19/2016 10:19:58 AM,Exited Timestamp,8/19/2016 10:38:02 AM
Lot Event Id,15075,Space,002         ,Entered Timestamp,8/19/2016 10:35:05 AM,Exited Timestamp,8/19/2016 10:40:45 AM
Lot Event Id,15076,Space,003         ,Entered Timestamp,8/19/2016 10:37:08 AM,Exited Timestamp,8/19/2016 2:00:01 PM
Lot Event Id,15077,Space,002         ,Entered Timestamp,8/19/2016 10:40:45 AM,Exited Timestamp,8/19/2016 10:50:29 AM
Lot Event Id,15078,Space,002         ,Entered Timestamp,8/19/2016 10:50:34 AM,Exited Timestamp,8/19/2016 10:50:34 AM
Lot Event Id,15079,Space,005         ,Entered Timestamp,8/19/2016 10:51:26 AM,Exited Timestamp,8/19/2016 11:19:17 AM
Lot Event Id,15080,Space,010         ,Entered Timestamp,8/19/2016 11:00:43 AM,Exited Timestamp,8/20/2016 6:05:26 AM
Lot Event Id,15081,Space,004         ,Entered Timestamp,8/19/2016 11:03:13 AM,Exited Timestamp,8/19/2016 11:03:14 AM
Lot Event Id,15082,Space,004         ,Entered Timestamp,8/19/2016 11:03:19 AM,Exited Timestamp,8/19/2016 11:38:48 AM
Lot Event Id,15083,Space,002         ,Entered Timestamp,8/19/2016 11:03:39 AM,Exited Timestamp,8/19/2016 11:14:09 AM
Lot Event Id,15084,Space,001         ,Entered Timestamp,8/19/2016 11:03:52 AM,Exited Timestamp,8/19/2016 11:14:18 AM
Lot Event Id,15085,Space,007         ,Entered Timestamp,8/19/2016 11:04:35 AM,Exited Timestamp,8/19/2016 11:10:47 AM
Lot Event Id,15086,Space,008         ,Entered Timestamp,8/19/2016 11:06:53 AM,Exited Timestamp,8/19/2016 11:06:54 AM
