,,Site:,10 Spots Northbound Rest Area,,,,,,
,,,,,,,,,
,,,,,,,,,
Date,Truck ID,SpaceNum,TimeIn,TimeOut,VehType,notes,,,Vehicle Type
8/19/2016,1,1,0:00:00,,3,,,,0=Other
8/19/2016,2,2,0:00:00,,4,,,,1=truck with no trailer
8/19/2016,3,3,0:00:00,,4,,,,2=truck with vehicle trailer
8/19/2016,4,4,0:00:00,,4,,,,3=truck with flat bed trailer
8/19/2016,5,5,0:00:00,,4,,,,4=truck with closed trailer
8/19/2016,6,7,0:00:00,,0,Semi towing other cabs,,,5=truck with double closed trailer
8/19/2016,7,9,0:00:00,,3,,,,6=truck with tanker trailer
8/19/2016,8,10,0:00:00,,4,,,,7=single unit truck
8/19/2016,9,8,0:45:30,,4,,,,8=RV
8/19/2016,10,6,0:46:00,,7,,,,
8/19/2016,10,6,,1:00:00,7,,,,
8/19/2016,11,6,1:30:00,,0,,,,
8/19/2016,11,6,,1:39:00,0,,,,
8/19/2016,12,6,2:24:00,,4,,,,
8/19/2016,6,7,,4:49:30,0,Semi towing other cabs,,,
8/19/2016,13,7,5:34:30,,4,,,,
8/19/2016,4,4,,6:10:30,4,,,,
8/19/2016,3,3,,6:28:30,4,,,,
8/19/2016,14,3,6:40:00,,4,,,,
8/19/2016,2,2,,6:49:00,4,,,,
8/19/2016,15,4,7:05:00,,4,,,,
8/19/2016,16,2,7:09:00,,4,,,,
8/19/2016,15,4,,7:17:00,4,,,,
8/19/2016,8,10,,7:22:00,4,,,,
8/19/2016,17,10,7:23:30,,4,,,,
8/19/2016,17,10,,7:31:00,4,,,,
8/19/2016,6,7,,7:33:00,4,,,,
8/19/2016,18,4,7:35:30,,4,,,,
8/19/2016,1,1,,7:41:30,3,,,,
8/19/2016,14,3,,7:48:00,4,,,,
8/19/2016,19,1,8:10:30,,4,,,,
8/19/2016,19,1,,8:12:30,4,,,,
8/19/2016,20,3,8:12:30,,4,,,,
8/19/2016,20,3,,8:18:30,4,,,,
8/19/2016,21,1,8:18:30,,2,,,,
8/19/2016,18,4,,9:28:00,4,,,,
8/19/2016,22,4,9:33:30,,4,,,,
8/19/2016,5,5,,9:34:30,4,,,,
8/19/2016,16,2,,9:39:00,4,,,,
8/19/2016,22,4,,9:51:00,4,,,,
8/19/2016,7,9,,9:56:30,3,,,,
8/19/2016,23,4,10:05:30,,3,,,,
8/19/2016,23,4,,10:06:00,3,,,,
8/19/2016,21,1,,10:16:30,2,,,,
8/19/2016,24,4,10:20:00,,3,,,,
8/19/2016,25,2,10:35:00,,4,,,,
8/19/2016,26,3,10:37:00,,4,,,,
8/19/2016,24,4,,10:38:00,3,,,,
8/19/2016,25,2,,10:40:30,4,,,,
8/19/2016,27,2,10:44:30,,2,,,,
8/19/2016,27,2,,10:50:30,2,,,,
8/19/2016,28,5,10:51:30,,4,,,,
8/19/2016,29,10,11:00:00,,4,,,,
8/19/2016,30,4,11:03:00,,4,,,,
8/19/2016,31,2,11:03:30,,3,,,,
8/19/2016,32,1,11:03:30,,3,,,,
8/19/2016,33,7,11:04:30,,4,,,,
8/19/2016,9,8,,11:07:00,4,,,,
8/19/2016,33,7,,11:11:00,4,,,,
