,,Site:,10 Spots Southbound Rest Area,,,,,,
,,,,,,,,,
,,,,,,,,,
Date,Truck ID,SpaceNum,TimeIn,TimeOut,VehType,notes,,,Vehicle Type
9/5/2016,1,1,0:00:00,,4,,,,0=Other
9/5/2016,2,3,0:00:00,,4,,,,1=truck with no trailer
9/5/2016,3,5,0:00:00,,4,,,,2=truck with vehicle trailer
9/5/2016,4,6,0:00:00,,4,,,,3=truck with flat bed trailer
9/5/2016,5,7,0:00:00,,4,,,,4=truck with closed trailer
9/5/2016,6,8,0:00:00,,4,,,,5=truck with double closed trailer
9/5/2016,7,10,0:00:00,,4,,,,6=truck with tanker trailer
9/5/2016,5,7,,1:15:30,4,,,,7=single unit truck
9/5/2016,1,1,,2:16:00,4,,,,8=RV
9/5/2016,8,9,2:38:00,,4,,,,
9/5/2016,8,9,,2:41:30,4,,,,
9/5/2016,9,7,2:53:30,,4,,,,
9/5/2016,7,10,,3:43:00,4,,,,
9/5/2016,6,8,,3:47:00,4,,,,
9/5/2016,10,4,4:04:00,,0,,,,
9/5/2016,11,2,4:09:00,,0,,,,
9/5/2016,11,2,,4:17:30,0,,,,
9/5/2016,10,4,,4:19:00,0,,,,
9/5/2016,12,9,4:27:30,,4,,,,
9/5/2016,12,9,,4:32:00,4,,,,
9/5/2016,9,7,,4:35:30,4,,,,
9/5/2016,13,1,4:38:00,,4,,,,
9/5/2016,14,8,4:46:30,,4,,,,
9/5/2016,14,8,,4:57:30,4,,,,
9/5/2016,13,1,,5:07:00,4,,,,
9/5/2016,15,9,5:21:30,,4,,,,
9/5/2016,16,8,5:25:30,,4,,,,
9/5/2016,3,5,,5:32:30,4,,,,
9/5/2016,15,9,,5:54:00,4,,,,
9/5/2016,17,10,6:03:30,,4,,,,
9/5/2016,2,3,,6:13:30,4,,,,
9/5/2016,18,3,7:21:00,,4,,,,
9/5/2016,16,8,,7:28:30,4,,,,
9/5/2016,18,3,,7:30:00,4,,,,
9/5/2016,19,4,7:57:00,,4,,,,
9/5/2016,19,4,,7:58:30,4,,,,
9/5/2016,4,6,,8:02:30,4,,,,
9/5/2016,17,10,,8:15:00,4,,,,
9/5/2016,20,7,8:59:30,,4,,,,
9/5/2016,20,7,,9:01:30,4,,,,
9/5/2016,21,2,9:05:30,,6,,,,
9/5/2016,21,2,,9:11:00,6,,,,
9/5/2016,22,8,10:08:30,,4,,,,
9/5/2016,23,6,10:49:00,,4,,,,
9/5/2016,23,6,,11:11:00,4,,,,
9/5/2016,22,8,,11:29:30,4,,,,
9/5/2016,24,3,11:42:00,,8,,,,
9/5/2016,25,10,11:47:00,,7,,,,
9/5/2016,26,6,11:48:00,,0,,,,
9/5/2016,26,6,,11:50:30,0,,,,
9/5/2016,25,10,,11:57:00,7,,,,
9/5/2016,27,6,12:09:30,,3,,,,
9/5/2016,28,1,12:13:30,,4,,,,
9/5/2016,29,10,12:18:30,,4,,,,
9/5/2016,24,3,,12:22:00,8,,,,
9/5/2016,28,1,,12:24:30,4,,,,
9/5/2016,30,4,12:27:30,,4,,,,
9/5/2016,29,10,,13:08:30,4,,,,
9/5/2016,27,6,,13:10:30,3,,,,
