date,timestamp,LANE001A(16b4),LANE001B(1e98),LANE001C(15ee),LANE002A(1ea9),LANE002B(1dc4),LANE002C(154d),LANE003A(14b1),LANE003B(168b),LANE003C(1511),LANE004A(15f5),LANE004B(161e),LANE004C(16b9),LANE005A(14ed),LANE005B(13b3),LANE005C(149d),LANE006A(160a),LANE006B(16bf),LANE006C(1300),LANE007A(1de6),LANE007B(1e5b),LANE007C(1e80),LANE008A(1d7c),LANE008B(1db3),LANE008C(1e4f),LANE009A(1db6),LANE009B(1e34),LANE009C(1e39),LANE010A(1e9e),LANE010B(1db0),LANE010C(1dae),occ(%)
Mon Sep  5 05:15:55 2016,1473052555,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,63
Mon Sep  5 05:16:00 2016,1473052560,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,60
Mon Sep  5 06:16:27 2016,1473056187,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,57
Mon Sep  5 06:16:28 2016,1473056188,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,53
Mon Sep  5 06:16:31 2016,1473056191,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,50
Mon Sep  5 06:38:14 2016,1473057494,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,57
Mon Sep  5 06:41:56 2016,1473057716,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,53
Mon Sep  5 06:41:58 2016,1473057718,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,50
Mon Sep  5 06:53:43 2016,1473058423,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,53
Mon Sep  5 06:53:47 2016,1473058427,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,57
Mon Sep  5 06:53:49 2016,1473058429,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,60
Mon Sep  5 07:43:27 2016,1473061407,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,57
Mon Sep  5 07:43:38 2016,1473061418,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,53
Mon Sep  5 07:43:44 2016,1473061424,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,50
Mon Sep  5 07:47:22 2016,1473061642,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,47
Mon Sep  5 07:47:23 2016,1473061643,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,43
Mon Sep  5 07:47:29 2016,1473061649,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,40
Mon Sep  5 08:04:14 2016,1473062654,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,43
Mon Sep  5 08:09:44 2016,1473062984,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,47
Mon Sep  5 08:10:50 2016,1473063050,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,50
Mon Sep  5 08:17:02 2016,1473063422,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,47
Mon Sep  5 08:17:35 2016,1473063455,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,43
Mon Sep  5 08:18:06 2016,1473063486,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,47
Mon Sep  5 08:19:10 2016,1473063550,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,40
Mon Sep  5 08:27:49 2016,1473064069,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,43
Mon Sep  5 08:27:52 2016,1473064072,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,47
Mon Sep  5 08:27:53 2016,1473064073,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,50
Mon Sep  5 08:32:18 2016,1473064338,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,47
Mon Sep  5 08:32:21 2016,1473064341,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,43
Mon Sep  5 08:32:24 2016,1473064344,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,40
Mon Sep  5 08:36:01 2016,1473064561,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,37
Mon Sep  5 08:36:02 2016,1473064562,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,33
Mon Sep  5 08:36:05 2016,1473064565,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30
